Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,H,L,M
297.765,310.3,1470,45.29,154,0,0,0,0,0,0,1,0,0
298.281,308.2,1438,45.12,174,0,0,0,0,0,0,0,1,0
301.498,311.0,1410,43.04,88,0,0,0,0,0,0,0,1,0
303.49,312.2,1369,53.23,137,0,0,0,0,0,0,0,1,0
300.521,310.9,1562,38.76,85,0,0,0,0,0,0,0,0,1
297.703,308.7,1437,46.87,159,0,0,0,0,0,0,0,1,0
301.718,310.9,1448,52.12,59,0,0,0,0,0,0,0,1,0
299.896,310.9,1364,66.34,109,0,0,0,0,0,0,0,1,0
300.497,310.8,2223,25.1,113,0,0,0,0,0,0,0,1,0
297.944,308.1,1437,46.0,33,0,0,0,0,0,0,0,1,0
299.64,309.2,1385,53.28,97,0,0,0,0,0,0,0,0,1
299.99,311.0,1365,44.91,169,0,0,0,0,0,0,0,1,0
297.667,308.5,1544,43.87,117,0,0,0,0,0,0,0,1,0
299.049,310.3,1374,42.63,189,0,0,0,0,0,0,0,0,0
298.981,309.3,1445,47.89,185,0,0,0,0,0,0,0,1,0
298.827,308.5,1412,54.5,46,0,0,0,0,0,0,0,1,0
300.25,311.5,1543,35.44,103,0,0,0,0,0,0,0,1,0
303.854,312.0,1436,46.88,161,0,0,0,0,0,0,0,1,0
297.629,308.4,1531,37.09,124,0,0,0,0,0,0,0,1,0
300.7,310.6,2277,14.92,21,0,0,0,0,0,0,0,0,1
299.227,310.4,1528,40.21,73,0,0,0,0,0,0,0,1,0
297.628,308.9,1436,28.41,3,0,0,0,0,0,0,0,1,0
296.594,308.0,1673,30.72,5,0,0,0,0,0,0,0,1,0
297.554,308.6,1467,38.27,132,0,0,0,0,0,0,0,1,0
299.852,310.5,1707,22.47,11,0,0,0,0,0,0,0,1,0
300.871,310.7,1412,47.39,30,0,0,0,0,0,0,0,1,0
298.099,308.2,1424,34.87,171,0,0,0,0,0,0,0,0,1
302.146,310.9,1449,46.3,77,0,0,1,0,0,0,0,0,1
297.443,308.8,1506,48.74,57,0,0,0,0,0,0,0,1,0
297.13,308.7,1471,44.98,3,0,0,0,0,0,0,0,1,0
300.989,311.5,1424,52.94,205,1,0,0,0,1,0,0,1,0
301.45,310.6,1419,44.26,5,0,0,0,0,0,0,0,1,0
299.944,309.3,1636,30.63,98,0,0,0,0,0,0,0,1,0
297.533,308.5,1505,45.03,136,0,0,0,0,0,0,0,1,0
298.12,308.6,1341,56.61,82,0,0,0,0,0,0,0,1,0
301.625,310.8,1595,21.87,31,0,0,0,0,0,0,1,1,0
297.471,308.5,1568,39.33,15,0,0,0,0,0,0,0,0,1
302.337,312.0,1457,51.19,86,0,0,0,0,0,0,0,0,1
300.547,310.6,1490,38.74,128,0,0,0,0,0,0,0,1,0
299.142,309.6,1469,41.91,87,0,0,0,0,0,0,0,0,1
298.659,309.9,1419,40.92,114,0,0,0,0,0,0,0,1,0
301.971,310.9,1438,37.09,153,0,0,0,0,0,0,0,1,0
300.184,310.4,1746,30.15,131,0,0,0,0,0,0,0,1,0
298.289,307.9,1751,29.93,50,0,0,0,0,0,0,0,1,0
298.113,308.4,1478,42.45,139,0,0,0,0,0,0,0,1,0
297.446,308.0,1902,19.46,153,0,0,0,0,0,0,0,0,1
297.222,309.8,1458,47.28,67,0,0,0,0,0,0,0,1,0
297.558,308.6,1451,42.65,148,0,0,0,0,0,0,0,1,0
296.02,308.7,1403,45.46,175,0,0,0,0,0,0,0,0,1
298.337,307.8,1606,35.4,2,0,0,0,0,0,0,0,1,0
300.847,311.5,1592,37.72,153,0,0,0,0,0,0,0,1,0
300.054,312.0,1543,35.06,106,0,0,0,0,0,0,0,1,0
300.661,311.7,1445,43.66,204,0,0,0,0,0,0,0,1,0
297.735,308.8,1536,39.46,130,0,0,0,0,0,0,1,0,0
300.066,309.7,1457,50.48,95,0,0,0,0,0,0,1,0,0
299.365,311.7,1567,37.13,98,0,0,0,0,0,0,0,0,1
301.969,310.8,1287,49.96,53,0,0,0,0,0,0,0,0,1
303.125,312.9,1370,41.58,31,0,0,0,0,0,0,0,1,0
300.442,311.2,1576,36.6,191,0,0,0,0,0,0,0,1,0
298.623,309.8,1363,53.41,57,0,0,0,0,0,0,0,1,0
299.318,310.9,1612,47.01,130,0,0,0,0,0,0,0,1,0
301.858,310.9,1601,43.26,25,0,0,0,0,0,0,1,0,0
300.349,309.7,1381,34.38,124,0,0,0,0,0,0,0,1,0
299.734,310.6,1439,42.95,53,0,0,0,0,0,0,0,0,1
297.065,308.7,1520,42.23,175,0,0,0,0,0,0,0,1,0
300.625,311.2,1621,33.41,6,0,0,0,0,0,0,0,1,0
303.486,312.8,1447,47.42,227,0,0,0,1,0,0,0,1,0
299.043,310.4,1427,50.8,35,0,0,0,0,0,0,0,1,1
299.117,310.4,1433,43.78,165,0,0,0,0,0,0,0,1,0
299.664,308.5,1535,39.01,89,0,0,0,0,0,0,0,1,0
297.445,308.2,1773,10.43,9,0,1,0,0,0,0,1,0,0
301.825,310.7,1557,26.34,143,0,0,0,0,0,0,0,1,0
302.555,311.9,1541,33.67,120,0,0,0,0,0,0,0,1,0
302.447,311.7,1599,32.59,214,0,0,0,0,0,0,1,0,0
299.04,310.9,1637,29.0,179,0,0,0,0,0,0,0,1,0
300.606,312.1,1560,27.33,203,0,0,0,0,0,0,0,1,0
297.357,309.5,1443,44.04,44,0,0,0,0,0,0,0,0,1
302.89,311.8,1511,32.9,25,0,0,0,0,0,0,0,0,0
302.201,311.5,1567,32.28,97,0,0,0,0,0,0,0,0,1
300.168,309.8,1437,41.07,117,0,0,0,0,0,0,0,1,0
300.628,310.7,1452,40.19,41,0,0,0,0,0,0,1,0,0
301.728,310.8,1398,45.97,111,0,0,0,0,0,0,0,1,0
299.167,308.7,1542,35.38,144,0,0,0,0,0,0,0,1,0
297.649,308.3,1419,42.75,118,0,0,0,0,0,0,0,1,0
302.439,311.6,2180,14.04,51,0,0,0,0,0,0,1,0,0
301.753,310.3,1443,43.51,88,0,0,0,0,0,0,0,1,0
300.377,312.2,1378,58.68,86,0,0,0,0,0,0,0,0,1
297.124,308.2,1416,43.66,38,0,0,0,0,0,0,0,0,1
298.263,310.4,1399,69.3,72,0,0,0,0,0,0,0,1,0
302.397,311.5,1543,43.28,73,0,0,0,0,0,0,0,1,0
302.38,311.0,1533,41.31,116,0,0,0,0,0,0,0,1,0
301.477,309.3,1340,56.86,89,0,0,0,0,0,0,0,1,0
298.498,308.6,1446,38.49,210,0,0,0,0,0,0,0,0,1
298.537,309.5,1506,46.92,198,0,0,0,0,0,0,0,1,0
300.264,308.2,2231,18.61,83,1,0,0,0,0,0,0,1,0
299.406,309.5,1496,45.96,41,0,0,0,0,0,0,0,1,0
299.322,309.5,1529,37.2,55,0,0,0,0,0,0,0,1,0
299.143,310.8,1404,45.89,96,1,0,0,0,0,0,0,1,0
303.551,312.2,1492,46.85,134,0,0,0,0,0,0,0,1,0
303.249,312.9,1394,60.34,197,0,0,0,1,0,0,0,0,1
299.035,309.6,1678,35.78,208,0,0,0,0,0,0,0,1,0
301.441,309.7,1432,51.6,95,0,0,0,0,0,0,0,0,1
296.789,307.8,1474,45.52,23,0,0,0,0,0,0,1,1,0
302.066,310.7,1456,44.48,26,0,0,0,0,0,0,0,1,0
297.822,308.1,1667,45.63,3,0,0,0,0,0,0,0,1,0
296.928,308.2,1254,64.02,126,0,0,0,0,0,0,0,1,0
301.077,311.1,1565,39.51,190,0,0,0,0,0,0,0,1,0
300.181,311.3,1540,31.11,159,0,0,0,0,0,0,0,0,1
300.498,309.9,1558,50.17,18,0,1,0,0,0,0,0,0,1
297.751,308.7,1467,48.38,129,0,0,0,0,0,0,0,1,0
302.179,311.0,1441,42.91,193,0,0,0,0,0,0,0,1,0
300.914,310.9,1554,36.37,17,0,0,0,0,0,0,0,1,0
296.332,308.8,1450,40.59,120,0,0,0,0,0,0,0,0,1
301.271,311.0,1537,34.41,74,0,0,0,0,0,0,0,0,1
297.682,308.3,1523,33.95,127,0,0,0,0,0,0,0,1,0
300.045,310.3,1891,12.62,154,0,0,0,0,0,0,0,0,1
300.688,309.7,1542,33.99,77,0,0,0,0,0,0,0,1,0
297.582,308.3,1693,27.71,19,0,0,0,0,0,0,0,1,0
300.697,311.2,1572,38.42,191,0,0,0,0,0,0,0,0,1
297.761,309.0,1417,42.74,5,0,0,0,0,0,0,0,1,0
300.58,309.5,1713,20.61,61,0,0,0,0,0,0,0,0,1
297.584,308.4,1456,47.97,107,0,0,0,0,0,0,0,1,0
300.136,311.1,1576,31.23,98,0,0,0,0,0,0,0,1,0
300.719,310.0,1559,33.78,16,0,0,0,0,0,0,0,1,0
297.413,308.6,1434,41.96,35,0,0,0,0,0,0,0,1,0
302.2,311.1,1668,29.95,142,0,0,0,0,0,0,0,1,0
300.946,310.6,1384,66.93,49,0,0,1,0,0,0,0,0,1
300.774,310.9,1331,48.26,159,0,0,0,0,0,0,0,1,0
299.82,309.8,1460,40.44,43,0,0,0,0,0,0,0,0,1
299.02,308.8,1459,41.78,6,0,0,0,0,0,0,0,1,0
301.798,311.8,1329,41.63,55,0,0,0,0,0,0,0,0,1
300.519,310.8,1454,41.68,183,0,0,0,0,0,0,0,1,0
298.408,310.0,1381,47.39,94,0,0,0,0,0,0,0,1,0
299.167,308.8,1393,51.13,182,0,0,0,0,0,0,0,1,0
300.186,312.0,1390,64.88,53,0,0,0,0,0,0,1,0,0
298.96,309.7,1618,42.73,96,0,0,0,0,0,0,0,1,0
300.596,310.6,1466,47.14,195,0,0,0,0,0,0,0,1,0
298.767,311.0,1417,37.19,4,0,0,0,0,0,0,0,0,1
300.797,310.0,1481,46.66,3,0,0,0,0,0,0,0,1,0
300.116,310.1,1634,34.01,119,0,0,0,0,0,0,0,1,0
302.019,310.5,1434,41.9,22,0,0,0,0,0,0,0,1,0
301.202,312.2,1488,39.42,32,0,0,0,0,0,0,0,1,0
301.261,310.4,1413,47.43,118,0,0,0,0,0,0,0,1,0
300.715,310.2,1460,30.98,41,0,0,0,0,0,0,0,0,1
301.808,311.6,1532,38.04,154,0,0,0,0,0,0,0,1,0
302.116,311.2,1393,51.47,69,0,0,0,0,0,0,0,0,1
300.835,309.5,1544,29.6,95,0,0,0,0,0,0,0,0,1
299.321,310.7,1490,40.28,113,0,0,0,0,0,0,0,1,0
298.059,310.2,1448,42.99,50,0,0,0,0,0,0,0,0,1
296.888,308.5,1422,40.82,93,0,0,0,0,0,0,0,1,0
297.227,306.9,1371,41.31,130,0,0,0,0,0,0,0,1,0
301.313,311.4,1451,49.02,126,0,0,0,0,0,0,0,0,1
302.695,312.1,1725,27.75,104,0,0,0,0,0,0,0,1,0
302.097,310.8,1341,49.69,139,0,0,0,0,0,0,0,0,1
297.697,308.8,1405,38.05,21,0,0,0,0,0,0,0,0,1
299.328,309.5,1469,47.54,144,0,0,0,0,0,0,0,1,0
297.685,308.6,1434,51.94,67,0,0,0,0,0,0,0,1,0
300.457,310.6,1425,48.04,142,0,0,0,0,0,0,0,1,0
301.045,310.0,1380,53.48,193,0,0,0,0,0,0,0,1,0
299.247,310.1,1476,35.69,142,0,0,0,0,0,0,0,1,0
297.675,305.9,1534,37.7,163,0,0,0,0,0,0,0,1,0
297.914,308.8,1459,40.75,197,0,0,0,0,0,0,0,1,0
301.898,310.9,1600,32.33,81,0,0,0,0,0,0,0,1,0
297.626,307.7,1823,23.34,99,0,0,0,0,0,0,0,1,0
300.8,311.4,1506,42.09,65,0,0,0,0,0,0,0,1,0
300.187,311.9,1336,40.49,146,0,0,0,0,0,0,0,1,0
298.902,310.2,1531,46.42,16,0,0,0,0,0,0,0,1,0
298.154,308.1,1691,31.08,37,0,0,0,0,0,0,0,0,1
300.831,311.2,1416,49.03,14,0,0,0,0,0,0,0,0,1
300.081,309.7,1537,39.69,153,0,0,0,0,0,0,0,1,0
300.518,311.0,1728,35.78,163,0,0,0,0,0,0,0,1,0
302.457,310.5,1479,42.36,105,0,0,0,0,0,0,0,1,0
300.227,309.2,1481,36.27,201,0,0,0,0,0,0,0,1,0
300.037,309.1,1467,37.8,83,0,0,0,0,0,0,0,1,0
298.692,308.6,1397,44.16,59,0,0,0,0,0,0,0,0,1
298.205,308.8,1469,44.46,74,0,0,0,0,0,0,0,1,0
302.497,311.8,1337,44.95,172,0,0,0,0,0,0,0,0,1
301.807,310.5,1494,46.31,28,0,0,0,0,0,0,0,1,0
303.008,311.8,1417,48.42,210,0,0,0,0,0,0,1,0,0
300.163,312.0,1824,24.07,29,0,0,0,0,0,0,0,1,0
297.53,309.0,1812,23.86,116,0,0,0,0,0,0,0,1,0
300.617,310.4,1433,38.65,8,0,0,0,0,0,0,0,1,0
299.178,308.5,1491,37.96,5,0,0,0,0,0,0,0,1,0
297.929,308.2,1535,32.71,44,0,0,0,0,0,0,0,0,1
297.717,308.9,1571,37.28,186,0,0,0,0,0,0,0,1,0
301.471,310.4,1433,52.31,128,0,0,0,0,0,0,0,1,0
301.371,310.8,1372,49.77,7,0,0,0,0,0,0,0,0,1
298.245,309.3,1418,49.43,147,0,0,0,0,0,0,0,1,0
297.878,308.2,1826,20.41,118,0,0,0,0,0,0,0,1,0
297.585,308.5,1541,36.21,61,0,0,0,0,0,0,0,0,1
297.679,308.5,1422,44.71,6,0,0,0,0,0,0,1,0,0
298.34,308.6,1543,36.07,33,0,0,0,0,0,0,0,1,0
298.947,309.8,1412,45.97,113,0,0,0,0,0,0,0,1,0
297.345,308.4,1466,38.69,124,0,0,0,0,0,0,0,1,0
300.959,310.9,1626,33.5,103,0,0,0,0,0,0,0,0,1
297.663,310.1,1430,43.31,206,0,0,0,0,0,0,0,1,0
299.92,309.6,1591,35.9,175,0,0,0,0,0,0,0,0,1
299.24,308.8,1437,53.01,121,0,0,0,0,0,0,0,1,0
300.143,309.4,1482,46.98,137,0,0,0,0,0,0,0,1,0
297.723,308.6,1548,38.69,33,0,0,0,0,0,0,0,1,0
301.059,310.6,1378,44.22,190,0,0,0,0,0,0,0,1,0
297.34,308.5,1490,34.53,118,0,0,0,0,0,0,0,1,0
300.27,309.4,1590,33.05,55,0,0,0,0,0,0,0,1,0
298.954,309.6,1582,29.46,64,0,0,0,0,0,0,0,1,0
300.22,309.5,1626,40.49,100,0,0,0,0,0,0,1,0,0
300.529,309.3,1546,38.46,118,0,0,0,0,0,0,0,1,0
297.932,309.9,1435,48.8,129,0,0,0,0,0,0,0,1,0
303.638,312.8,1345,58.43,217,0,0,0,0,0,0,1,0,0
297.386,308.3,1423,47.87,117,0,0,0,0,0,0,0,1,0
300.023,311.3,1563,39.57,138,0,0,0,0,0,0,0,1,0
303.273,311.5,1524,27.31,85,0,0,0,0,0,0,1,0,0
298.951,308.5,1545,36.67,4,0,0,0,0,0,0,0,1,0
297.57,310.6,1408,49.06,205,0,0,0,0,0,0,0,1,0
297.643,308.0,1885,16.43,34,0,0,0,0,0,0,0,1,0
300.552,310.8,1432,53.11,0,0,0,0,0,0,0,0,0,1
299.745,311.4,1627,42.84,29,0,0,0,0,0,0,0,0,1
298.256,308.2,1459,34.62,52,0,0,0,0,0,0,0,0,1
297.736,309.1,1880,18.89,16,0,0,0,0,0,0,0,0,1
297.561,308.6,1426,44.89,19,0,0,0,0,0,0,0,0,1
300.224,311.2,2328,10.36,109,0,0,0,0,0,0,1,0,0
299.148,309.6,1686,33.22,97,0,0,0,0,0,0,0,1,0
300.071,309.5,1638,35.09,110,0,0,0,0,0,0,0,1,0
297.605,308.6,1533,37.9,94,0,0,0,0,0,0,0,1,0
300.343,308.3,1604,38.15,184,0,0,0,0,0,0,0,1,0
297.413,308.7,1431,51.79,95,0,0,0,0,0,0,0,1,0
299.039,308.8,1747,28.67,115,0,0,0,0,0,0,0,1,0
299.826,311.3,1472,42.56,124,0,0,0,0,0,0,0,1,0
298.702,309.8,1446,50.45,48,0,0,0,0,0,0,0,1,0
301.465,310.4,1428,45.26,70,0,0,0,0,0,0,1,0,0
300.488,310.5,1688,51.31,68,0,0,0,0,0,0,0,1,0
300.385,311.7,2420,15.6,27,0,0,0,0,0,0,0,1,0
301.503,310.5,1537,38.95,0,0,0,0,0,0,0,0,1,0
303.124,311.7,1369,51.13,150,0,0,0,0,0,0,0,0,1
300.524,310.9,1672,31.05,16,0,0,0,0,0,0,0,0,1
299.225,310.6,1421,35.99,82,0,0,0,0,0,0,0,1,0
300.174,310.8,1523,38.07,207,0,0,0,0,0,0,0,1,0
298.191,308.6,1421,49.46,66,0,0,0,0,0,0,0,1,0
299.822,309.5,1390,49.75,47,0,0,0,0,0,0,0,1,0
299.449,310.2,1556,39.11,120,0,0,0,0,0,0,0,1,0
301.937,310.2,1549,44.58,112,0,0,0,0,0,0,0,1,0
300.358,311.8,1623,37.27,135,0,0,0,0,0,0,0,1,0
298.219,307.8,1521,33.46,101,0,0,0,0,0,0,0,0,1
301.411,311.5,1444,43.28,216,0,0,0,0,0,0,0,1,0
300.524,308.8,1553,37.51,5,0,0,0,0,0,0,0,1,0
299.978,309.6,1510,45.56,21,0,0,0,0,0,0,0,1,0
300.434,309.8,1429,51.27,57,0,0,0,0,0,0,0,1,0
302.189,311.4,1447,38.96,179,0,0,0,0,0,0,0,1,0
300.13,309.4,1291,52.06,7,0,0,0,0,0,0,0,1,0
303.56,311.7,1549,49.38,169,0,0,0,0,0,0,0,1,0
297.512,308.1,1474,42.05,109,0,0,0,0,0,0,0,1,0
298.946,310.5,1489,43.39,63,0,0,0,0,0,0,0,0,1
301.046,310.8,1506,43.05,110,0,0,0,0,0,0,0,1,0
300.109,310.5,1633,30.25,15,0,0,0,0,0,0,0,1,0
297.618,309.0,1415,53.39,0,0,0,0,0,0,0,0,1,0
300.894,311.7,1562,37.74,39,0,0,0,0,0,0,0,0,0
300.602,311.5,1682,27.63,106,0,0,0,0,0,0,0,1,0
300.343,312.0,1517,34.56,19,0,0,0,0,0,0,0,1,0
300.913,311.0,1410,53.88,119,0,0,0,0,0,0,0,1,0
302.458,312.1,1286,62.78,161,0,0,0,0,0,0,0,1,0
300.942,311.6,1722,21.94,61,0,0,0,0,0,0,0,0,1
297.632,308.1,1701,30.82,154,0,0,0,0,0,0,0,0,1
301.421,310.3,1433,42.85,53,0,0,0,0,0,0,0,1,0
303.733,313.5,1431,47.73,19,0,0,0,0,0,0,0,0,1
298.722,310.8,1389,66.68,181,0,0,0,0,0,0,0,0,1
297.479,308.3,1433,46.92,71,0,0,0,0,0,0,1,0,0
300.995,309.6,1728,24.95,211,0,0,0,0,0,0,1,0,0
300.583,311.6,1503,36.14,219,0,0,0,0,0,0,0,1,0
299.174,309.9,1426,47.73,198,0,0,0,0,0,0,0,1,0
301.292,311.8,1380,44.54,143,1,0,0,0,0,0,0,1,0
297.052,305.9,1357,52.47,0,0,0,0,0,0,0,0,1,0
298.723,309.5,1417,40.82,97,0,0,0,0,0,0,0,1,0
298.885,308.9,1419,46.24,123,0,0,0,0,0,0,0,1,0
298.745,308.7,1445,48.59,130,0,0,0,0,0,0,0,1,0
299.538,311.7,1667,35.04,101,0,0,0,0,0,0,0,1,0
297.522,309.1,1480,37.53,96,0,0,0,0,0,0,0,1,0
298.605,309.0,1461,39.64,4,0,0,0,0,0,0,0,1,0
300.095,309.6,1749,28.64,116,0,0,0,0,0,0,0,0,1
300.907,310.9,1468,37.64,130,0,0,0,0,0,0,0,1,0
296.877,308.1,1539,43.47,93,0,0,0,0,0,0,0,0,1
302.293,311.2,1459,46.66,2,0,0,0,0,0,0,0,1,0
299.018,310.4,1557,37.09,90,0,0,0,0,0,0,0,0,1
301.419,310.9,1435,40.95,8,0,0,0,0,0,0,0,1,0
301.909,311.4,1420,68.35,171,0,0,0,0,0,0,0,0,1
303.629,311.8,1514,32.82,98,0,0,0,0,0,0,0,1,0
301.084,310.4,1420,38.39,206,0,0,0,0,0,0,0,1,0
297.448,308.9,1358,60.49,131,0,0,0,0,0,0,0,1,0
298.915,308.4,1476,38.57,126,0,0,0,0,0,0,0,0,1
300.33,311.5,1663,26.37,140,0,0,0,0,0,0,1,0,0
298.923,309.5,1618,31.89,150,0,0,0,0,0,0,0,1,0
300.65,309.9,1466,52.19,57,0,0,0,0,0,0,0,1,0
297.845,308.1,1398,54.18,129,0,0,0,0,0,0,0,1,0
302.251,311.7,1297,53.4,159,1,0,1,0,0,0,0,1,0
299.123,309.8,1496,43.48,197,0,0,0,0,0,0,0,1,0
297.736,308.8,1425,30.53,76,0,0,0,0,0,0,0,1,0
297.159,308.2,1421,45.47,59,0,0,0,0,0,0,0,1,0
297.154,308.5,1434,52.54,65,0,0,0,0,0,0,0,1,0
297.957,308.3,1433,43.51,169,0,0,0,0,0,0,0,0,1
297.691,308.4,1411,49.19,0,0,0,0,0,0,0,0,1,0
297.581,308.4,1867,20.01,121,0,0,0,0,0,0,0,1,0
302.533,311.4,1534,34.74,128,0,0,0,0,0,0,0,1,0
302.026,311.2,1434,47.59,146,0,0,0,0,0,0,0,1,0
